,Equal_Weighted,Historical_RP,Method_A_ARMA,Method_A_XGBoost,Method_B_XGBoost,Method_C_XGBoost
2020-03-10,1.1560906724350186,1.1739493093808573,1.0,1.1285249337855472,1.1434544088741199,1.0092636459665458
2020-03-11,1.096103202377921,1.1185933730367879,1.0,1.0752867294313562,1.0868411418159902,0.9580758172555229
2020-03-12,0.9814733752975109,1.00793195939267,1.0,0.9700299799719786,0.978185663172215,0.8577290620209846
2020-03-13,1.06085531309739,1.0883397580824068,1.0,1.042961167327838,1.055892156737247,0.9271025129613721
2020-03-16,0.9095425982474573,0.9519668421996017,1.0,0.9137956333992449,0.9171357087416296,0.7948673283434093
2020-03-17,0.9670511778341281,1.01719829895208,1.0,0.9775790313849434,0.9808124803508432,0.8451252174196993
2020-03-18,0.9001840615042688,0.9629153017341369,1.0,0.9254049622691919,0.9222618403614066,0.786435178973016
2020-03-19,0.8988867577271675,0.9605042758244667,1.0,0.9193039562510292,0.9162168432134494,0.7824430978378749
2020-03-20,0.8784063588641745,0.9356527758296476,1.0,0.8957391830534039,0.8929382339111368,0.7646157724339119
2020-03-23,0.8661966766906299,0.9159108228518151,1.0,0.8827519155120929,0.8788799831809971,0.7539877578799543
2020-03-24,0.9462989729971548,0.9862965845412353,1.0,0.9472204870160625,0.950739025513656,0.8237134361450114
2020-03-25,0.9685548460857907,0.997370288472877,1.0,0.9626784361610081,0.9665126836914005,0.8430862371512137
2020-03-26,1.0347506895424754,1.0585017343764387,1.0,1.0188755856269576,1.031846364164219,0.9007069333879695
2020-03-27,0.9894905062391893,1.0229347553091421,1.0,0.97624926448202,0.9912283438839379,0.8613098483512779
2020-03-30,1.0227319136616837,1.0618126560510548,1.0,1.0006324795701553,1.0256894237078966,0.8902450947285996
2020-03-31,1.0044533576170538,1.0424846665765122,1.0,0.981162985371162,1.009487402382342,0.874334380845434
2020-04-01,0.9571697776491348,1.0046930200322568,1.0,0.9471080633141545,0.9660762507231712,0.8331760141558306
2020-04-02,0.9855071070329506,1.0379144872794364,1.0,0.9908524615177304,0.9976906504345435,0.8575925133631277
2020-04-03,0.9758497638153646,1.0292561364563237,1.0,0.9826931852708254,0.9859720344006629,0.8515857178129782
2020-04-06,1.0477652058414135,1.0951080109708853,1.0,1.0613952329753493,1.0497681601331064,0.9115038327310355
2020-04-07,1.0340884326590971,1.0790971001590994,1.0,1.0465877861469521,1.0377204082452671,0.896590947620342
2020-04-08,1.0690635814123646,1.1064913974553978,1.0,1.0779187385442444,1.070527717626258,0.921378800066043
2020-04-09,1.0709946143515512,1.1078313799194457,1.0,1.0753244654385792,1.0728155009099403,0.9165796605168443
2020-04-13,1.0658693267261892,1.1085061358384982,1.0,1.0734439147058665,1.0668794982469865,0.9172522533451395
2020-04-14,1.0873343856447533,1.1349623562321183,1.0,1.0874245348846625,1.0915583202287804,0.9367888221025354
2020-04-15,1.0790604555825094,1.123606051784904,1.0,1.078856316043773,1.0821955457085544,0.9264330740413934
2020-04-16,1.088843504362628,1.1361623302620298,1.0,1.0748420105299628,1.0969530150110791,0.9373464611129825
2020-04-17,1.121554153486467,1.1828546298896028,1.0,1.126725701720815,1.1224341149762151,0.9531851729507083
2020-04-20,1.0987499543499941,1.1512421172827718,1.0,1.090684550678557,1.1032046080811448,0.9342429879135945
2020-04-21,1.058001694601909,1.1086162419419803,1.0,1.0495642911216239,1.0632573317239558,0.9046008202461956
2020-04-22,1.0805331831498808,1.1336554815363082,1.0,1.0737295281380217,1.0858466512872595,0.923406513298434
2020-04-23,1.082941908030969,1.1350625010254862,1.0,1.0801251593610197,1.0878451563411757,0.9215007975496282
2020-04-24,1.0854740902672766,1.136017680155629,1.0,1.0853611072032912,1.093918138864124,0.9240727609883425
2020-04-27,1.0986355450466294,1.1471656142360598,1.0,1.0967884510132717,1.1068192228986073,0.9337910202805658
2020-04-28,1.088577751773196,1.1403212832543401,1.0,1.0926311506566726,1.0957354981222374,0.9232720758399318
2020-04-29,1.1040852116028899,1.1553906225844002,1.0,1.1142724882124198,1.1084459495429309,0.9227091131031204
2020-04-30,1.097574360386832,1.1489898753675964,1.0,1.1116306037295915,1.1017849335634093,0.9215093171714395
2020-05-01,1.068559084206008,1.120422330182709,1.0,1.0846195328073927,1.0751310298063537,0.9014288148279783
2020-05-04,1.0735749519900029,1.1245555730725953,1.0,1.0888496117594901,1.0784080263567357,0.9060409007959316
2020-05-05,1.082109800111104,1.1264406520806787,1.0,1.096691463224484,1.087072641410645,0.917238927830745
2020-05-06,1.0732041621084194,1.1136296414447742,1.0,1.086858015706979,1.0793359481777667,0.9095519239086677
2020-05-07,1.0802883429129493,1.1264438129727325,1.0,1.0925853819391895,1.0813854665630664,0.909713446978181
2020-05-08,1.1006718504680149,1.15091433157272,1.0,1.1136355062931216,1.1001493690961615,0.9230690116486586
2020-05-11,1.1059330841353059,1.1517961671073007,1.0,1.120742812782096,1.1082275330180145,0.9325925841843311
2020-05-12,1.084589816810189,1.1301184291230975,1.0,1.0992379578764493,1.0881723056098596,0.917469700773682
2020-05-13,1.065308629598872,1.1113134813451715,1.0,1.0814228820931493,1.0717650451212135,0.9069027006569748
2020-05-14,1.0772582939112103,1.1226049586977982,1.0,1.0928219008903763,1.0837509906824652,0.9134132483168904
2020-05-15,1.0790615950412306,1.1258721666817697,1.0,1.0951198755431533,1.0859235470393716,0.9184273161936951
2020-05-18,1.107407741857898,1.1510171922167303,1.0,1.1115865383302719,1.1007085131834218,0.9270473955245424
2020-05-19,1.0906441511851823,1.132708841197654,1.0,1.0987556419195008,1.0900918979473029,0.9152537967492156
2020-05-20,1.1033574901008298,1.1419958690098093,1.0,1.1056481051671192,1.0975815907934976,0.9206333392403742
2020-05-21,1.1019313199014853,1.1395827474904685,1.0,1.1040917200059042,1.0960834261432584,0.9180068862091117
2020-05-22,1.1015333889100738,1.1395438606710078,1.0,1.1039653534261544,1.096179926634437,0.9178647816858383
2020-05-26,1.1145670308371396,1.1502497602173223,1.0,1.1124905132380942,1.104152142582039,0.9210043554005917
2020-05-27,1.130196411618343,1.164142527757912,1.0,1.122370431323084,1.1151195801280156,0.9294446680324311
2020-05-28,1.128772570144162,1.1669222122163954,1.0,1.1230791262666306,1.1139242301941426,0.9278750149942397
2020-05-29,1.134533196719814,1.1757563855915754,1.0,1.1278243905371281,1.1207319557104,0.9315286404202824
2020-06-01,1.1343443613691364,1.171280618546583,1.0,1.1266219828851507,1.1180709228041357,0.9297462865808551
2020-06-02,1.140110784920252,1.1771089842003832,1.0,1.1311958675686655,1.122673588145907,0.9314107813363083
