Date,Equal_Weighted,Historical_Risk_Parity,Method_A_XGBoost,Method_B_XGBoost,Method_C_XGBoost,Method_A_ARMA
2020-04-13,1.2351249408640808,1.2193846907065657,1.2268275963512645,1.1800650374825938,1.1780576196114707,1.2515469771494634
2020-04-14,1.2606089303768706,1.2507320750268967,1.2562229679779473,1.2068136790606567,1.2042396186336595,1.282122330975514
2020-04-15,1.2514194082692027,1.237308540963059,1.2422171568531424,1.1996884077136871,1.1963229308399692,1.26998447035627
2020-04-16,1.2637162741151515,1.257976905809109,1.2595159099707445,1.2163205028242647,1.2130283554647299,1.2853389152510013
2020-04-17,1.3036753277018989,1.2825738407983744,1.2903509794905461,1.247962414885632,1.241378261251193,1.3230138618740002
2020-04-20,1.2777334716082864,1.263921200129242,1.2739000023654519,1.2248479790943791,1.2172605335614857,1.3044374718232734
2020-04-21,1.2314650918162753,1.2212101619044895,1.221390692447884,1.179242481066679,1.179028982355588,1.2511079019970894
2020-04-22,1.2582420316786325,1.2477865873787013,1.2500423256654574,1.2064349850255252,1.2067739469807117,1.276894051394002
2020-04-23,1.261286106207482,1.2460613600011672,1.2528073697297695,1.2097677238750386,1.2040133705191836,1.2773671957477688
2020-04-24,1.2645773891330745,1.2545847407188393,1.2596619331145371,1.2148271177069738,1.2086084523483234,1.2864045360527492
2020-04-27,1.2801278753918954,1.2686189856603995,1.2760120607181265,1.2294843242650921,1.2200426697067204,1.3058239211038711
2020-04-28,1.268595134755922,1.255734265012213,1.2666229632676076,1.2183919713798865,1.2084427346504567,1.2907692288304127
2020-04-29,1.2873919334185724,1.2656324657773352,1.2850705487567964,1.2374870929858395,1.2092811815609554,1.3117463745094697
2020-04-30,1.28001223544551,1.2564973175907816,1.2804471211399155,1.2311920316220046,1.2071079146978725,1.3077621114820448
2020-05-01,1.2468063270116536,1.2292313035763416,1.245988270196647,1.1979969851127288,1.1820767290060339,1.274168338318253
2020-05-04,1.2527961034789323,1.233569395664877,1.2485475975979063,1.2037165001718868,1.187762048131889,1.2863328494064288
2020-05-05,1.263021217181813,1.2468975927928956,1.2564552427270743,1.2130981076582108,1.2025397171695646,1.298715080239645
2020-05-06,1.2528071865003267,1.237661201721041,1.2459737041242271,1.204094083929505,1.1932717635586372,1.2868852280476994
2020-05-07,1.2614548158543337,1.2402429599067932,1.2528587590129239,1.2118413577459366,1.1920219008634643,1.2982888544950149
2020-05-08,1.285567371209305,1.2623744045882934,1.276828541690358,1.2343613710617933,1.2088982795772074,1.324513916220704
2020-05-11,1.2920260538678339,1.2710135163506577,1.2844863843260457,1.242097582561917,1.2217120321175483,1.325863287845453
2020-05-12,1.267406618657417,1.249216622782095,1.2609167846037646,1.2181811666040072,1.2023023024054729,1.3020333156388115
2020-05-13,1.2452427854567383,1.2311409191087457,1.2417551085659186,1.196132317074281,1.1884845466727916,1.2797713983174717
2020-05-14,1.259453247938917,1.2437175703736516,1.2552071474610413,1.2113960599262383,1.1978483923446392,1.293968447179449
2020-05-15,1.2616934568063334,1.2484760431475348,1.2589024195967546,1.2130703368778037,1.2074335085578543,1.295299994054336
2020-05-18,1.296249243022578,1.2722476259595568,1.2880728058656927,1.24622179492441,1.2245680063644402,1.335071662302175
2020-05-19,1.2769861535641394,1.251941375080092,1.26740969880981,1.230532775192787,1.2026487268517414,1.3101032901673233
2020-05-20,1.2921497104974595,1.262804008185217,1.278947269133409,1.2461953026742305,1.2129128912540839,1.325144585055361
2020-05-21,1.2906564493432378,1.258849486015334,1.2765978177274282,1.245107195617906,1.2081357527546863,1.3249529320350175
2020-05-22,1.2902518715463038,1.2592391323269045,1.2761895212631047,1.244966193615289,1.20859751954594,1.3222794483692135
2020-05-26,1.3058729095431538,1.2701632925190567,1.2903333690873078,1.262784813423439,1.2142546644704415,1.3408054691893394
2020-05-27,1.324444692729026,1.286153484386997,1.3068381967976093,1.283212078434529,1.2280277259255195,1.358875007244985
2020-05-28,1.3229986262305107,1.287775700817444,1.3082608877089767,1.278509819985271,1.2279223143666276,1.3570910253667507
2020-05-29,1.3300409987033561,1.299761742051074,1.3163915707376637,1.2852881699875929,1.2359354891459042,1.3651283510442518
2020-06-01,1.3300307273411598,1.2947800330591432,1.3146811970431358,1.2865341105579828,1.235453933035274,1.366304386221511
2020-06-02,1.3368890886231555,1.3006428464128297,1.3221229334345708,1.2946918437825945,1.2390744012911385,1.375127691669982
2020-06-03,1.3628461743169014,1.314781715906191,1.345715397759037,1.3216303861524623,1.2528061121956067,1.40561250981739
2020-06-04,1.3614392818807353,1.3075952681632796,1.3424429739464145,1.3201586599666575,1.2434671325330484,1.4049047898947036
2020-06-05,1.4013266529678394,1.334063880568889,1.3757371176508946,1.3601953538139557,1.273562624324974,1.4436953610663092
2020-06-08,1.4252096541339174,1.3448030936383835,1.394087747241099,1.3835153123827548,1.2863908531004182,1.4661642139935147
2020-06-09,1.4068597171620025,1.333960621456283,1.3798183875384853,1.3654949074546543,1.2718241666378065,1.4501716296952145
2020-06-10,1.399182074992922,1.3327896295070283,1.3772889956730607,1.3588128791261616,1.2690798168399122,1.4480285284995777
2020-06-11,1.3102526511412582,1.2678926968108355,1.3030347580624726,1.2726040155822718,1.1916724124503857,1.3695739052513884
2020-06-12,1.3298979116332124,1.270471837372112,1.3134628016385608,1.2919037668575142,1.2062633435703125,1.3814433247316171
2020-06-15,1.3327508879924088,1.2720313295092718,1.3130279490017687,1.2942655110893548,1.21298772284945,1.3818506516567828
2020-06-16,1.3616428808342702,1.297547970811497,1.3418066909493822,1.3225398090281164,1.2366138214792723,1.4113866396412393
2020-06-17,1.3522865614043187,1.2913010836825916,1.333923391620551,1.3135576718351178,1.228556389838113,1.4034695063322171
2020-06-18,1.3567689500223254,1.2943790338917553,1.3383650596070695,1.3176758655791792,1.2333324053165107,1.408807219649063
2020-06-19,1.3546824940207325,1.2995182083072252,1.3402462875776138,1.3140525560649585,1.222710789948428,1.410596202213193
2020-06-22,1.3639214811420848,1.3072943262971115,1.3464416019013574,1.3241707398689118,1.2376660852462773,1.4171992516990397
2020-06-23,1.3657247209941226,1.307176860408958,1.3485198865672732,1.3268804875074975,1.2428291257374928,1.417400566516577
2020-06-24,1.333688125116939,1.2835400804133443,1.3213154318218976,1.2969709586558889,1.2102329669149743,1.3885683128667092
2020-06-25,1.3433465784451615,1.2914800208083599,1.3314701861919278,1.3063291087997726,1.2213339737982063,1.3984894131662784
2020-06-26,1.3069321153932572,1.2609354337045644,1.2961466979380258,1.2691391602847062,1.1818991676018706,1.363060718834766
2020-06-29,1.3393025768840365,1.279428752253638,1.3208925763797936,1.2973626612064402,1.2064017202669852,1.391188115573902
