Date,AMGN,BA,CRM,CVX,INTC,MRK,NKE,UNH,VZ,WMT
2014-07-22,86.18659210205078,112.13616943359375,52.8244514465332,79.71513366699219,26.342802047729492,38.74118423461914,32.837013244628906,71.00553131103516,27.62657356262207,20.385461807250977
2014-07-23,86.82707977294922,109.51730346679688,52.8244514465332,80.49678802490234,26.12321662902832,38.528995513916016,32.9776611328125,70.9147720336914,27.588638305664062,20.47856330871582
2014-07-24,87.0050048828125,107.52074432373047,53.27779769897461,81.08003997802734,25.933917999267578,38.59531784057617,33.50192642211914,70.70024871826172,27.66450309753418,20.308326721191406
2014-07-25,87.41773223876953,106.48355102539062,54.09578323364258,80.31040954589844,25.933917999267578,38.55553436279297,33.12684631347656,69.87507629394531,27.789142608642578,20.20724868774414
2014-07-28,87.28250885009766,106.36254119873047,53.218658447265625,80.11200714111328,25.918773651123047,38.43618392944336,33.41667556762695,70.75798034667969,27.951717376708984,20.138093948364258
2014-07-29,87.75221252441406,105.72297668457031,54.03665542602539,79.61894226074219,25.888484954833984,38.840633392333984,33.28880310058594,69.53675842285156,28.16306495666504,20.066282272338867
2014-07-30,92.52017974853516,105.697021484375,55.43610382080078,79.68508911132812,26.009628295898438,38.50911331176758,33.93241882324219,68.44754791259766,28.049259185791016,19.89072608947754
2014-07-31,90.65567779541016,104.13262176513672,53.46504592895508,77.70693969726562,25.661325454711914,37.62065124511719,32.8753662109375,66.87973022460938,27.323095321655273,19.571537017822266
2014-08-01,89.34628295898438,104.04618072509766,52.7061882019043,76.90126037597656,25.54775619506836,37.66043472290039,32.72616958618164,67.24279022216797,27.00337028503418,19.560897827148438
2014-08-04,91.5523452758789,103.65724182128906,54.10564041137695,77.06359100341797,25.782474517822266,37.83281707763672,32.888153076171875,67.88641357421875,27.20929527282715,19.560897827148438
2014-08-05,91.00438690185547,104.8154296875,53.514320373535156,75.13355255126953,25.016433715820312,37.14988327026367,32.785850524902344,66.83018493652344,26.911251068115234,19.5076961517334
